# tish perf record — schema v1 (TSV; ms; lower is better)
# meta	commit	b56fc365
# meta	date	2026-06-13T20:50:32-07:00
# meta	tag	v2.3.0-1-gb56fc365
# meta	os	Darwin arm64
# meta	runtimes	vm,interp,rust,cranelift,llvm,wasi,node,bun,deno,qjs
# meta	runs	5
# scope	name	runtime	ms	status
test	core/typed_surface	node	36	ok
test	core/typeof	vm	13	ok
test	core/typeof	interp	13	ok
test	core/typeof	node	36	ok
test	core/types	vm	14	ok
test	core/types	interp	14	ok
test	core/types	node	36	ok
test	core/unsigned_right_shift	vm	14	ok
test	core/unsigned_right_shift	interp	14	ok
test	core/unsigned_right_shift	node	37	ok
test	core/uri	vm	14	ok
test	core/uri	interp	16	ok
test	core/uri	node	36	ok
test	core/void	vm	14	ok
test	core/void	interp	13	ok
test	core/void	node	37	ok
test	modules/promise	vm	14	ok
test	modules/promise	interp	14	ok
test	modules/promise	node	36	ok
test	modules/settimeout	vm	14	failed
test	modules/settimeout	interp	14	failed
test	modules/settimeout	node	37	failed
