# tish perf record — schema v1 (TSV; ms; lower is better)
# meta	commit	77c1b6de
# meta	date	2026-06-12T13:32:59-07:00
# meta	tag	v2.2.0
# meta	os	Darwin arm64
# meta	runtimes	vm,interp,rust,cranelift,llvm,wasi,node,bun,deno,qjs
# meta	runs	5
# scope	name	runtime	ms	status
test	core/json	interp	13	ok
test	core/json	node	36	ok
test	core/length	vm	13	ok
test	core/length	interp	13	ok
test	core/length	node	36	ok
test	core/map_set_iterators	vm	13	ok
test	core/map_set_iterators	interp	13	ok
test	core/map_set_iterators	node	36	ok
test	core/math	vm	13	ok
test	core/math	interp	13	ok
test	core/math	node	35	ok
test	core/mutation	vm	13	ok
test	core/mutation	interp	13	ok
test	core/mutation	node	35	ok
test	core/nested_complex	vm	15	ok
test	core/nested_complex	interp	14	ok
test	core/nested_complex	node	36	ok
test	core/nested_loops	vm	13	ok
test	core/nested_loops	interp	13	ok
test	core/nested_loops	node	36	ok
test	core/new_features_perf	vm	47	ok
test	core/new_features_perf	interp	53	ok
test	core/new_features_perf	node	40	ok
test	core/number_literals	vm	13	failed
test	core/number_literals	interp	13	failed
test	core/number_literals	node	35	failed
test	core/number_to_string	vm	14	ok
test	core/number_to_string	interp	13	ok
test	core/number_to_string	node	36	ok
test	core/object_methods	vm	13	ok
test	core/object_methods	interp	13	ok
test	core/object_methods	node	37	ok
test	core/object_stress	vm	68	ok
test	core/object_stress	interp	92	ok
test	core/object_stress	node	39	ok
test	core/objects	vm	14	ok
test	core/objects	interp	13	ok
test	core/objects	node	36	ok
test	core/objects_perf	vm	14	ok
test	core/objects_perf	interp	14	ok
test	core/objects_perf	node	36	ok
test	core/optional_braces	vm	13	ok
test	core/optional_braces	interp	13	ok
test	core/optional_braces	node	40	ok
test	core/optional_braces_braced	vm	13	ok
test	core/optional_braces_braced	interp	13	ok
test	core/optional_braces_braced	node	37	ok
test	core/optional_chaining	vm	13	ok
test	core/optional_chaining	interp	13	ok
test	core/optional_chaining	node	36	ok
test	core/rest_param_empty	vm	14	ok
test	core/rest_param_empty	interp	14	ok
test	core/rest_param_empty	node	36	ok
test	core/rest_params	vm	13	ok
test	core/rest_params	interp	13	ok
test	core/rest_params	node	35	ok
test	core/scientific_notation	vm	13	ok
test	core/scientific_notation	interp	12	ok
test	core/scientific_notation	node	35	ok
test	core/scopes	vm	14	ok
test	core/scopes	interp	14	ok
test	core/scopes	node	35	ok
test	core/set_map_types	vm	14	ok
test	core/set_map_types	interp	14	ok
test	core/set_map_types	node	36	ok
test	core/space_indent	vm	14	ok
test	core/space_indent	interp	13	ok
test	core/space_indent	node	37	ok
test	core/strict_equality	vm	13	ok
test	core/strict_equality	interp	14	ok
test	core/strict_equality	node	36	ok
test	core/string_coercion	vm	13	ok
test	core/string_coercion	interp	13	ok
test	core/string_coercion	node	36	ok
test	core/string_escapes	vm	14	ok
test	core/string_escapes	interp	13	ok
test	core/string_escapes	node	36	ok
test	core/string_methods	vm	13	ok
test	core/string_methods	interp	13	ok
test	core/string_methods	node	36	ok
test	core/string_methods_perf	vm	15	ok
test	core/string_methods_perf	interp	15	ok
test	core/string_methods_perf	node	35	ok
test	core/string_relational	vm	13	ok
test	core/string_relational	interp	13	ok
test	core/string_relational	node	35	ok
test	core/switch	vm	12	ok
test	core/switch	interp	13	ok
test	core/switch	node	36	ok
test	core/symbol	vm	13	ok
test	core/symbol	interp	12	ok
test	core/symbol	node	36	ok
test	core/tab_indent	vm	13	ok
test	core/tab_indent	interp	12	ok
test	core/tab_indent	node	36	ok
test	core/template_literals	vm	13	ok
test	core/template_literals	interp	13	ok
test	core/template_literals	node	34	ok
test	core/try_catch	vm	13	ok
test	core/try_catch	interp	13	ok
test	core/try_catch	node	35	ok
test	core/typed_array_forof	vm	13	ok
test	core/typed_array_forof	interp	13	ok
test	core/typed_array_forof	node	35	ok
test	core/typed_array_hof	vm	13	ok
test	core/typed_array_hof	interp	13	ok
test	core/typed_array_hof	node	35	ok
test	core/typed_array_literal_infer	vm	13	ok
test	core/typed_array_literal_infer	interp	13	ok
test	core/typed_array_literal_infer	node	36	ok
test	core/typed_array_of_structs	vm	12	ok
test	core/typed_array_of_structs	interp	13	ok
test	core/typed_array_of_structs	node	36	ok
test	core/typed_arrays	vm	14	ok
test	core/typed_arrays	interp	13	ok
test	core/typed_arrays	node	35	ok
test	core/typed_generic_mono	vm	13	ok
test	core/typed_generic_mono	interp	13	ok
test	core/typed_generic_mono	node	35	ok
test	core/typed_generics	vm	13	ok
test	core/typed_generics	interp	12	ok
test	core/typed_generics	node	35	ok
test	core/typed_intersection	vm	13	ok
test	core/typed_intersection	interp	13	ok
test	core/typed_intersection	node	34	ok
test	core/typed_param_loopbound	vm	13	ok
test	core/typed_param_loopbound	interp	12	ok
test	core/typed_param_loopbound	node	35	ok
test	core/typed_rest_params	vm	12	ok
test	core/typed_rest_params	interp	12	ok
test	core/typed_rest_params	node	34	ok
test	core/typed_strings	vm	12	ok
test	core/typed_strings	interp	13	ok
test	core/typed_strings	node	35	ok
test	core/typed_surface	vm	14	ok
test	core/typed_surface	interp	13	ok
test	core/typed_surface	node	34	ok
test	core/typeof	vm	12	ok
test	core/typeof	interp	12	ok
test	core/typeof	node	35	ok
test	core/types	vm	13	ok
test	core/types	interp	13	ok
test	core/types	node	36	ok
test	core/unsigned_right_shift	vm	13	ok
test	core/unsigned_right_shift	interp	13	ok
test	core/unsigned_right_shift	node	35	ok
test	core/uri	vm	13	ok
test	core/uri	interp	13	ok
test	core/uri	node	36	ok
test	core/void	vm	13	ok
test	core/void	interp	13	ok
test	core/void	node	35	ok
test	modules/promise	vm	13	ok
test	modules/promise	interp	13	ok
test	modules/promise	node	35	ok
test	modules/settimeout	vm	14	failed
test	modules/settimeout	interp	13	failed
test	modules/settimeout	node	35	failed
