# tish perf record — schema v1 (TSV; ms; lower is better)
# meta	commit	7bcd937f
# meta	date	2026-06-14T18:22:57-07:00
# meta	tag	v2.3.5-3-g7bcd937f
# meta	os	Darwin arm64
# meta	runtimes	vm,interp,rust,cranelift,llvm,wasi,node,bun,deno,qjs
# meta	runs	5
# scope	name	runtime	ms	status
test	core/string_escapes	vm	17	ok
test	core/string_escapes	interp	17	ok
test	core/string_escapes	node	47	ok
test	core/string_methods	vm	17	ok
test	core/string_methods	interp	17	ok
test	core/string_methods	node	47	ok
test	core/string_methods_perf	vm	18	ok
test	core/string_methods_perf	interp	19	ok
test	core/string_methods_perf	node	47	ok
test	core/string_relational	vm	17	ok
test	core/string_relational	interp	17	ok
test	core/string_relational	node	47	ok
test	core/switch	vm	17	ok
test	core/switch	interp	17	ok
test	core/switch	node	46	ok
test	core/symbol	vm	17	ok
test	core/symbol	interp	17	ok
test	core/symbol	node	47	ok
test	core/tab_indent	vm	17	ok
test	core/tab_indent	interp	17	ok
test	core/tab_indent	node	46	ok
test	core/template_literals	vm	17	ok
test	core/template_literals	interp	17	ok
test	core/template_literals	node	46	ok
test	core/try_catch	vm	17	ok
test	core/try_catch	interp	17	ok
test	core/try_catch	node	47	ok
test	core/typed_array_forof	vm	17	ok
test	core/typed_array_forof	interp	17	ok
test	core/typed_array_forof	node	47	ok
test	core/typed_array_hof	vm	18	ok
test	core/typed_array_hof	interp	17	ok
test	core/typed_array_hof	node	47	ok
test	core/typed_array_literal_infer	vm	17	ok
test	core/typed_array_literal_infer	interp	17	ok
test	core/typed_array_literal_infer	node	47	ok
test	core/typed_array_of_structs	vm	17	ok
test	core/typed_array_of_structs	interp	17	ok
test	core/typed_array_of_structs	node	46	ok
test	core/typed_arrays	vm	17	ok
test	core/typed_arrays	interp	17	ok
test	core/typed_arrays	node	47	ok
test	core/typed_generic_mono	vm	18	ok
test	core/typed_generic_mono	interp	17	ok
test	core/typed_generic_mono	node	47	ok
test	core/typed_generics	vm	17	ok
test	core/typed_generics	interp	17	ok
test	core/typed_generics	node	47	ok
test	core/typed_intersection	vm	17	ok
test	core/typed_intersection	interp	17	ok
test	core/typed_intersection	node	46	ok
test	core/typed_param_loopbound	vm	17	ok
test	core/typed_param_loopbound	interp	17	ok
test	core/typed_param_loopbound	node	47	ok
test	core/typed_rest_params	vm	21	ok
test	core/typed_rest_params	interp	17	ok
test	core/typed_rest_params	node	46	ok
test	core/typed_strings	vm	16	ok
test	core/typed_strings	interp	17	ok
test	core/typed_strings	node	47	ok
test	core/typed_surface	vm	17	ok
test	core/typed_surface	interp	17	ok
test	core/typed_surface	node	46	ok
test	core/typeof	vm	17	ok
test	core/typeof	interp	16	ok
test	core/typeof	node	45	ok
test	core/types	vm	16	ok
test	core/types	interp	16	ok
test	core/types	node	49	ok
test	core/unsigned_right_shift	vm	17	ok
test	core/unsigned_right_shift	interp	17	ok
test	core/unsigned_right_shift	node	46	ok
test	core/uri	vm	17	ok
test	core/uri	interp	17	ok
test	core/uri	node	47	ok
test	core/void	vm	17	ok
test	core/void	interp	17	ok
test	core/void	node	47	ok
test	modules/promise	vm	18	ok
test	modules/promise	interp	17	ok
test	modules/promise	node	47	ok
test	modules/settimeout	vm	17	failed
test	modules/settimeout	interp	17	failed
test	modules/settimeout	node	48	failed
